county_fips,state,rurality,total_population,pop_65_plus,pct_65_plus,pct_seniors_living_alone,broadband_access_pct,primary_care_per_100k,home_health_agencies_per_10k_seniors,meals_on_wheels_coverage_pct,transit_access_score,senior_poverty_pct,medicare_advantage_pct,senior_food_insecurity_pct,senior_fall_hospitalizations_per_1k,caregiver_distance_gap_pct,clinical_access_score,social_infrastructure_score,economic_security_score,physical_safety_score,digital_access_score,food_security_score,caregiver_proximity_score,aipr_index,readiness_tier,cluster_id,archetype
2251,IL,Rural,12429,3282,26.41,33.76,81.63,5.0,3.36,43.93,33.2,11.74,57.01,17.29,17.5,81.91,12.52,42.23,55.12,49.13,76.53,40.48,0.13,36.82,Critical,0,"High-risk (avg 35) — relatively weak in digital access, relatively strong in economic security"
2256,PA,Suburban,166763,28441,17.06,22.73,77.59,72.34,0.29,38.63,53.61,16.26,51.64,20.73,21.38,34.81,34.45,49.5,36.12,33.01,71.07,20.21,67.41,42.28,At risk,3,"Fragile (avg 47) — relatively weak in food security, relatively strong in digital access"
2369,LA,Urban,305604,42099,13.78,30.52,94.68,102.3,0.36,21.8,50.59,11.05,59.63,14.45,15.46,36.76,49.58,37.24,58.73,57.6,94.16,57.22,64.63,57.03,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
2382,IN,Rural,5034,1148,22.81,28.17,51.29,30.33,1.64,35.4,16.34,14.85,54.62,14.41,12.49,37.59,18.65,28.03,42.56,69.93,35.53,57.45,63.44,41.38,At risk,3,"Fragile (avg 47) — relatively weak in food security, relatively strong in digital access"
2697,WA,Urban,277537,37497,13.51,16.73,92.07,87.12,4.16,46.23,79.55,12.86,47.28,17.34,19.06,27.5,56.29,67.83,47.1,42.65,90.64,40.19,77.86,58.58,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
2757,MO,Suburban,104847,21944,20.93,38.4,90.23,52.2,0.22,31.01,63.37,14.62,23.64,18.12,22.94,42.73,24.18,49.74,31.19,26.54,88.15,35.59,56.1,40.15,At risk,3,"Fragile (avg 47) — relatively weak in food security, relatively strong in digital access"
2910,AZ,Urban,294926,31547,10.7,18.37,95.23,77.94,0.64,33.45,95.0,8.18,59.38,14.87,12.97,31.95,38.54,67.77,69.35,67.94,94.91,54.74,71.5,62.51,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
3052,MT,Urban,325837,41975,12.88,29.52,95.18,91.09,1.98,35.57,98.0,9.71,46.77,15.57,11.71,22.27,50.09,70.67,58.66,73.17,94.84,50.62,85.33,65.98,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
3060,MS,Urban,81487,11837,14.53,29.34,99.0,93.38,1.59,67.56,68.73,9.73,62.89,14.61,9.39,24.08,49.76,75.74,64.95,82.81,100.0,56.28,82.74,69.87,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
3291,UT,Urban,289724,52048,17.97,28.65,89.18,102.32,1.95,12.32,81.42,12.58,58.74,16.28,22.52,26.78,55.55,47.28,52.67,28.28,86.73,46.43,78.89,54.33,At risk,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
3412,OK,Urban,213685,31101,14.55,24.03,88.06,81.22,2.52,45.02,73.18,13.51,47.13,15.95,11.83,39.43,47.21,63.75,44.61,72.67,85.22,48.38,60.81,58.4,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
3466,GA,Urban,192065,33533,17.46,31.96,89.11,82.02,5.71,34.45,63.15,10.98,66.32,18.07,11.76,39.69,59.57,51.81,61.63,72.97,86.64,35.89,60.44,61.15,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
3473,DE,Small town,32688,6861,20.99,17.64,81.09,48.86,1.37,29.03,13.11,13.83,54.87,22.1,17.62,44.17,26.84,22.31,46.47,48.63,75.8,12.14,54.04,38.52,Critical,3,"Fragile (avg 47) — relatively weak in food security, relatively strong in digital access"
4210,NM,Rural,5842,1106,18.93,26.61,62.04,5.0,3.15,34.11,19.22,8.36,54.29,14.79,15.81,55.5,11.73,28.72,66.67,56.15,50.05,55.22,37.86,39.98,Critical,2,"Fragile (avg 47) — relatively weak in digital access, relatively strong in food security"
4513,AZ,Suburban,61985,10013,16.15,23.62,87.46,104.85,2.16,47.34,53.67,13.86,50.07,16.53,9.67,45.84,57.6,55.06,44.46,81.64,84.41,44.96,51.66,59.68,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
4576,KY,Suburban,41773,7403,17.72,22.94,84.12,43.86,1.23,48.14,47.42,14.36,75.57,17.38,21.36,62.09,23.83,52.31,52.66,33.1,79.89,39.95,28.44,41.5,At risk,3,"Fragile (avg 47) — relatively weak in food security, relatively strong in digital access"
4724,CT,Small town,29054,6422,22.11,29.57,73.06,39.22,2.81,40.6,10.57,13.07,42.01,14.58,20.87,52.48,27.45,28.33,44.23,35.13,64.95,56.45,42.17,39.37,Critical,3,"Fragile (avg 47) — relatively weak in food security, relatively strong in digital access"
4739,AK,Rural,18947,3187,16.82,33.46,70.99,38.76,1.66,53.3,2.0,11.01,47.48,17.32,18.52,79.36,22.91,31.93,54.09,44.89,62.15,40.31,3.77,35.99,Critical,0,"High-risk (avg 35) — relatively weak in digital access, relatively strong in economic security"
5203,WA,Rural,8450,1761,20.85,24.94,54.28,8.3,1.88,55.76,11.6,13.21,34.68,17.39,21.09,63.94,8.61,38.49,40.81,34.22,39.57,39.89,25.8,29.71,Critical,0,"High-risk (avg 35) — relatively weak in digital access, relatively strong in economic security"
5360,CA,Urban,264541,52452,19.83,31.68,94.36,88.96,2.32,49.43,76.39,7.1,62.17,12.79,14.04,25.68,50.31,68.22,74.49,63.5,93.73,67.0,80.46,67.63,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
5363,AL,Suburban,122038,19899,16.31,27.3,87.22,71.39,2.38,30.35,52.62,11.25,43.85,17.76,16.12,35.01,41.81,43.73,51.76,54.86,84.08,37.71,67.13,51.9,At risk,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
5452,WA,Suburban,36833,6918,18.78,21.64,77.7,68.73,0.79,44.92,67.64,11.64,45.42,15.7,13.03,42.6,34.53,60.8,50.92,67.69,71.22,49.85,56.29,53.28,At risk,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
5554,GA,Suburban,64516,10496,16.27,25.45,87.35,70.0,1.68,44.99,40.13,5.45,44.76,10.75,14.14,31.7,38.49,46.51,73.78,63.08,84.26,79.02,71.86,60.64,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
5646,TN,Small town,20009,4628,23.13,25.2,85.04,47.94,5.67,26.58,2.0,12.3,52.88,16.8,15.76,52.33,42.5,14.97,51.4,56.35,81.14,43.37,42.39,45.72,At risk,3,"Fragile (avg 47) — relatively weak in food security, relatively strong in digital access"
5649,AK,Small town,33208,6959,20.96,22.82,97.2,34.45,3.17,16.03,14.36,5.75,34.49,13.89,16.08,48.34,26.43,14.71,68.61,55.02,97.57,60.52,48.09,47.98,At risk,3,"Fragile (avg 47) — relatively weak in food security, relatively strong in digital access"
5731,DE,Urban,326069,33032,10.13,29.57,89.03,84.02,2.69,9.68,69.7,8.87,20.59,16.95,19.32,32.69,49.24,39.5,51.46,41.57,86.53,42.49,70.44,52.14,At risk,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
5825,CO,Suburban,80471,14070,17.48,28.41,68.09,67.91,1.18,38.98,34.72,10.65,58.41,17.34,19.47,36.78,35.58,39.88,59.74,40.95,58.23,40.19,64.6,46.28,At risk,3,"Fragile (avg 47) — relatively weak in food security, relatively strong in digital access"
5913,OK,Small town,41472,7848,18.92,17.46,80.76,45.7,1.17,42.17,6.52,7.72,22.41,13.82,13.65,48.62,24.52,27.22,56.48,65.12,75.35,60.93,47.69,46.85,At risk,3,"Fragile (avg 47) — relatively weak in food security, relatively strong in digital access"
5957,NY,Urban,330409,29954,9.07,17.09,89.95,51.92,3.95,21.46,87.86,10.81,63.96,14.15,12.18,43.52,38.03,56.44,61.34,71.22,87.77,58.99,54.97,58.03,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
5986,MO,Rural,10614,1959,18.46,29.55,39.04,20.38,0.38,52.64,20.45,10.75,73.82,15.31,20.2,72.2,8.99,41.12,65.45,37.92,18.97,52.15,14.0,32.43,Critical,0,"High-risk (avg 35) — relatively weak in digital access, relatively strong in economic security"
6006,IL,Urban,340749,45401,13.32,22.11,92.68,71.52,1.36,40.13,87.58,7.38,49.7,14.86,23.09,21.09,38.05,68.14,68.52,25.91,91.46,54.8,87.01,57.22,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
6072,CA,Rural,7617,1959,25.72,28.81,55.89,7.79,4.34,56.89,28.44,12.66,70.19,17.27,18.05,80.31,17.58,47.98,56.89,46.84,41.74,40.6,2.41,35.63,Critical,0,"High-risk (avg 35) — relatively weak in digital access, relatively strong in economic security"
6184,NH,Urban,101822,20261,19.9,31.69,93.61,102.46,1.36,43.19,59.79,7.6,51.66,14.79,13.94,36.13,53.41,55.61,68.47,63.91,92.72,55.22,65.53,62.9,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
6200,IL,Rural,16680,3709,22.24,19.37,50.72,15.65,3.06,23.07,21.14,19.19,74.39,18.45,19.91,53.81,16.68,22.71,34.15,39.12,34.76,33.65,40.27,29.43,Critical,0,"High-risk (avg 35) — relatively weak in digital access, relatively strong in economic security"
6213,NJ,Rural,9972,2864,28.73,18.53,53.19,23.55,1.79,44.42,11.55,10.08,45.61,17.53,18.47,56.16,15.85,31.27,56.82,45.1,38.09,39.07,36.91,35.35,Critical,0,"High-risk (avg 35) — relatively weak in digital access, relatively strong in economic security"
6306,OH,Rural,12621,2477,19.63,37.05,53.28,35.86,0.07,47.38,12.96,6.05,18.89,11.73,19.03,61.87,15.51,33.88,61.33,42.77,38.22,73.25,28.76,38.6,Critical,2,"Fragile (avg 47) — relatively weak in digital access, relatively strong in food security"
6352,TX,Rural,9556,2237,23.41,29.11,59.82,45.79,1.73,30.33,11.83,6.76,50.88,19.9,22.7,51.96,26.66,22.47,71.3,27.53,47.05,25.1,42.91,36.37,Critical,0,"High-risk (avg 35) — relatively weak in digital access, relatively strong in economic security"
6692,MT,Rural,6360,1736,27.3,24.48,50.06,25.6,2.01,17.81,16.3,14.86,75.91,18.85,21.16,72.83,17.69,16.85,50.93,33.93,33.86,31.29,13.1,27.5,Critical,0,"High-risk (avg 35) — relatively weak in digital access, relatively strong in economic security"
6830,AL,Small town,27663,6993,25.28,21.4,61.67,17.2,1.63,39.4,13.37,8.95,59.49,11.76,22.74,65.72,12.09,29.03,66.52,27.37,49.55,73.07,23.26,36.05,Critical,2,"Fragile (avg 47) — relatively weak in digital access, relatively strong in food security"
6843,IA,Rural,15461,3444,22.28,23.94,63.86,28.86,0.65,23.99,23.53,5.32,44.79,13.59,21.29,53.45,14.21,24.54,74.28,33.39,52.51,62.29,40.79,38.94,Critical,2,"Fragile (avg 47) — relatively weak in digital access, relatively strong in food security"
6931,TX,Urban,209580,31325,14.95,19.86,95.25,92.82,1.64,53.69,59.1,13.74,56.6,18.43,16.63,16.32,49.67,61.92,47.49,52.74,94.93,33.77,93.83,58.99,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
6977,NV,Small town,33719,6749,20.02,32.3,73.97,50.66,0.24,32.3,37.03,8.92,65.6,13.69,24.29,48.29,23.49,36.84,69.04,20.93,66.18,61.7,48.16,42.5,At risk,2,"Fragile (avg 47) — relatively weak in digital access, relatively strong in food security"
7008,NY,Small town,28176,5827,20.68,22.34,81.59,37.45,1.35,62.14,33.85,12.98,50.8,12.46,22.96,52.03,21.1,54.13,48.04,26.45,76.47,68.95,42.81,43.39,At risk,3,"Fragile (avg 47) — relatively weak in food security, relatively strong in digital access"
7261,MS,Rural,17020,4158,24.43,33.56,72.58,30.22,3.23,8.26,14.84,14.06,88.0,14.02,28.7,64.12,24.56,10.03,58.69,2.62,64.3,59.75,25.54,31.8,Critical,0,"High-risk (avg 35) — relatively weak in digital access, relatively strong in economic security"
7305,DE,Small town,29559,4508,15.25,24.6,81.65,44.9,5.46,39.89,3.0,11.54,44.76,16.97,22.31,44.93,40.2,23.94,51.03,29.15,76.55,42.37,52.96,42.86,At risk,3,"Fragile (avg 47) — relatively weak in food security, relatively strong in digital access"
7385,VT,Suburban,81522,9980,12.24,20.74,89.68,57.6,4.86,58.01,76.24,19.6,66.04,14.46,14.11,41.05,44.26,73.58,29.33,63.21,87.41,57.16,58.5,56.29,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
7496,RI,Small town,11998,2026,16.89,24.44,73.89,66.71,0.75,25.54,25.55,3.95,62.67,8.96,19.24,38.06,33.37,26.57,86.45,41.9,66.07,89.57,62.77,53.42,At risk,2,"Fragile (avg 47) — relatively weak in digital access, relatively strong in food security"
7544,WY,Suburban,138549,30071,21.7,11.25,88.99,74.22,0.46,35.77,31.59,7.39,42.2,15.3,16.19,29.55,36.02,36.21,65.52,54.57,86.47,52.21,74.93,53.81,At risk,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
7545,TX,Urban,1500,237,15.84,26.28,93.82,76.72,2.16,32.36,70.32,9.53,46.06,14.25,22.47,43.63,43.63,54.22,59.05,28.49,93.0,58.4,54.81,52.79,At risk,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
7707,KS,Small town,1500,333,22.22,25.98,75.38,79.66,1.91,28.43,31.08,19.09,66.25,16.9,12.09,59.25,44.15,31.29,31.31,71.59,68.08,42.78,32.5,45.5,At risk,3,"Fragile (avg 47) — relatively weak in food security, relatively strong in digital access"
7758,IN,Small town,30464,5912,19.41,31.95,83.44,42.27,2.9,41.42,21.24,17.33,54.03,16.7,21.31,29.85,29.3,34.41,33.06,33.31,78.97,43.96,74.5,42.18,At risk,3,"Fragile (avg 47) — relatively weak in food security, relatively strong in digital access"
7812,IN,Suburban,117777,19625,16.66,15.68,72.79,66.98,1.09,19.86,63.14,15.4,56.73,13.48,12.56,22.21,34.78,42.55,41.34,69.64,64.58,62.93,85.41,53.02,At risk,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
7951,WA,Suburban,114991,24934,21.68,33.97,88.08,72.9,1.95,36.45,67.79,7.48,29.1,15.2,19.01,45.71,40.95,55.5,60.02,42.86,85.24,52.8,51.84,52.98,At risk,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
8023,NH,Suburban,103922,17084,16.44,31.92,95.72,69.56,1.87,45.22,66.25,7.93,61.18,12.15,16.42,42.13,38.99,60.26,71.0,53.61,95.57,70.77,56.96,59.81,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
8052,MS,Suburban,134166,28068,20.92,34.51,94.64,73.12,1.39,34.99,56.35,7.35,56.02,12.6,18.96,36.96,38.96,48.61,71.13,43.06,94.11,68.12,64.34,56.82,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
8152,WI,Suburban,37582,6785,18.06,26.68,88.34,68.06,0.35,24.0,52.94,7.52,51.11,14.88,11.57,29.77,32.55,39.86,68.55,73.75,85.59,54.68,74.61,56.95,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
8214,NM,Rural,8212,1885,22.97,33.08,52.48,37.17,3.2,52.42,6.59,16.17,57.05,16.83,22.72,79.51,27.89,33.76,38.59,27.45,37.14,43.19,3.56,30.33,Critical,0,"High-risk (avg 35) — relatively weak in digital access, relatively strong in economic security"
8257,VA,Suburban,46825,6083,12.99,18.17,82.19,40.59,2.17,48.22,59.04,9.57,46.27,13.07,18.15,48.94,25.73,58.41,58.99,46.43,77.28,65.35,47.23,49.99,At risk,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
8278,WY,Rural,5105,964,18.88,31.28,64.68,10.76,3.36,23.42,10.97,10.08,43.71,10.06,22.31,77.7,15.38,17.63,56.07,29.15,53.62,83.09,6.14,33.56,Critical,2,"Fragile (avg 47) — relatively weak in digital access, relatively strong in food security"
8693,AR,Rural,1701,414,24.35,22.37,48.16,44.44,3.95,19.88,8.94,13.44,48.61,17.3,24.58,61.37,34.31,14.33,45.45,19.73,31.3,40.42,29.47,30.62,Critical,0,"High-risk (avg 35) — relatively weak in digital access, relatively strong in economic security"
8695,ME,Small town,16075,2824,17.57,17.09,69.89,61.95,1.75,24.67,12.69,4.18,45.5,12.87,14.22,45.06,34.76,19.32,78.82,62.75,60.66,66.53,52.77,50.82,At risk,2,"Fragile (avg 47) — relatively weak in digital access, relatively strong in food security"
8719,OR,Suburban,158236,23035,14.56,20.26,90.54,89.63,3.21,45.63,44.9,10.7,82.53,13.99,15.02,37.76,53.98,49.4,69.08,59.43,88.57,59.93,63.2,61.35,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
8720,SD,Small town,39071,7940,20.32,27.03,57.97,56.98,5.55,41.86,59.33,6.33,64.77,10.94,17.8,65.75,46.54,54.53,78.39,47.88,44.55,77.9,23.21,53.32,At risk,2,"Fragile (avg 47) — relatively weak in digital access, relatively strong in food security"
8725,DE,Rural,10834,2624,24.23,22.05,71.8,42.8,6.78,49.06,32.27,9.38,38.44,14.78,18.53,79.29,44.11,45.0,56.61,44.85,63.24,55.27,3.87,45.23,At risk,2,"Fragile (avg 47) — relatively weak in digital access, relatively strong in food security"
8776,KY,Rural,7557,1108,14.66,29.26,32.17,14.16,2.38,33.43,21.39,8.27,80.51,15.51,28.98,63.24,13.4,29.41,77.36,1.45,9.69,50.97,26.8,28.33,Critical,0,"High-risk (avg 35) — relatively weak in digital access, relatively strong in economic security"
8921,NV,Rural,12543,2339,18.65,16.15,82.22,21.85,2.52,25.05,24.1,8.08,45.94,14.47,18.85,63.49,17.74,25.51,64.42,43.52,77.32,57.1,26.44,40.54,At risk,2,"Fragile (avg 47) — relatively weak in digital access, relatively strong in food security"
8956,SD,Small town,11450,1904,16.63,14.24,68.1,65.82,2.35,50.86,39.19,11.36,52.41,19.64,12.83,25.19,38.93,49.75,54.72,68.52,58.24,26.64,81.16,52.28,At risk,3,"Fragile (avg 47) — relatively weak in food security, relatively strong in digital access"
9158,CO,Small town,16067,3129,19.48,35.23,71.64,34.21,2.82,30.25,25.81,11.34,64.56,17.3,27.05,34.81,25.0,29.7,59.59,9.47,63.03,40.42,67.41,38.15,Critical,3,"Fragile (avg 47) — relatively weak in food security, relatively strong in digital access"
9340,NM,Suburban,9866,2152,21.82,32.42,91.26,21.55,3.83,40.61,48.28,9.66,24.42,14.6,20.01,38.09,22.5,47.98,50.03,38.7,89.54,56.33,62.73,46.99,At risk,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
9342,KS,Rural,18092,5172,28.59,20.7,66.71,69.23,2.31,16.3,8.06,11.91,48.68,17.61,9.9,58.31,40.47,11.6,51.2,80.69,56.36,38.6,33.84,44.52,At risk,3,"Fragile (avg 47) — relatively weak in food security, relatively strong in digital access"
9384,ID,Suburban,114803,16896,14.72,26.98,90.98,81.51,6.52,30.02,67.15,7.2,43.97,14.0,12.88,28.75,62.35,51.08,66.93,68.31,89.16,59.87,76.07,66.05,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
9438,NE,Rural,11249,2172,19.31,33.12,69.97,19.18,5.91,52.13,21.69,13.09,54.87,16.35,17.02,26.95,29.12,41.44,49.23,51.12,60.77,46.02,78.64,47.09,At risk,3,"Fragile (avg 47) — relatively weak in food security, relatively strong in digital access"
9493,MI,Rural,1500,412,27.48,29.52,64.23,12.44,2.0,27.97,23.81,9.72,57.18,18.13,15.08,59.8,11.12,27.21,62.73,59.18,53.01,35.53,31.71,37.17,Critical,0,"High-risk (avg 35) — relatively weak in digital access, relatively strong in economic security"
9845,NC,Urban,225511,26304,11.66,27.89,91.37,97.33,2.0,49.4,76.25,8.66,50.92,12.22,13.08,42.22,53.26,68.12,64.22,67.48,89.69,70.36,56.83,64.98,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
9864,KY,Small town,41907,8966,21.4,33.57,69.68,40.72,1.3,5.37,16.78,7.48,50.27,14.05,19.48,40.37,22.53,9.2,68.37,40.91,60.38,59.58,59.47,41.35,At risk,2,"Fragile (avg 47) — relatively weak in digital access, relatively strong in food security"
9878,TN,Urban,543415,75048,13.81,22.62,89.47,97.06,2.94,30.17,77.71,9.58,66.91,17.81,17.71,41.22,56.65,56.68,67.1,48.26,87.12,37.42,58.26,58.25,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
10061,AR,Rural,10750,3334,31.01,27.19,68.81,33.42,1.49,35.6,2.0,17.61,56.22,18.82,21.56,58.1,19.62,20.69,32.88,32.27,59.2,31.47,34.14,30.26,Critical,0,"High-risk (avg 35) — relatively weak in digital access, relatively strong in economic security"
10095,UT,Urban,426641,47588,11.15,26.89,92.66,87.93,1.25,62.4,58.55,10.26,52.58,14.18,16.99,29.84,45.78,67.16,58.9,51.25,91.43,58.81,74.51,60.52,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
10136,AK,Rural,1500,369,24.62,25.36,89.33,51.82,2.89,21.63,16.3,6.15,54.07,9.2,14.48,59.66,34.0,19.27,74.84,61.67,86.93,88.16,31.91,52.57,At risk,2,"Fragile (avg 47) — relatively weak in digital access, relatively strong in food security"
10150,PA,Urban,299340,38356,12.81,24.66,93.97,112.55,0.71,47.39,86.94,13.99,77.7,10.92,15.74,45.93,55.98,72.42,54.88,56.44,93.2,78.02,51.53,63.83,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
10191,LA,Rural,15457,4105,26.56,27.44,75.95,26.57,3.87,52.8,16.18,8.71,54.42,19.67,24.81,81.27,25.14,39.0,65.42,18.77,68.85,26.46,1.04,34.4,Critical,0,"High-risk (avg 35) — relatively weak in digital access, relatively strong in economic security"
10391,MD,Rural,15705,2723,17.34,27.21,58.32,35.67,2.97,27.9,17.75,11.58,44.8,16.4,20.56,53.98,26.29,24.01,50.9,36.42,45.03,45.73,40.03,36.35,Critical,0,"High-risk (avg 35) — relatively weak in digital access, relatively strong in economic security"
10593,AL,Small town,10635,2218,20.86,20.71,71.93,59.13,5.7,32.77,21.02,8.2,25.27,12.82,17.8,61.55,48.17,28.8,55.81,47.88,63.42,66.82,29.21,47.86,At risk,2,"Fragile (avg 47) — relatively weak in digital access, relatively strong in food security"
10643,OK,Rural,9207,1813,19.7,31.81,49.74,43.33,2.41,39.98,3.19,15.37,31.92,18.02,14.83,48.97,27.99,24.09,31.66,60.22,33.43,36.18,47.19,36.07,Critical,0,"High-risk (avg 35) — relatively weak in digital access, relatively strong in economic security"
10731,FL,Rural,14976,3659,24.43,21.14,65.51,33.14,3.31,17.26,11.72,8.26,45.46,11.93,22.16,68.2,26.3,14.11,63.56,29.78,54.74,72.07,19.71,37.34,Critical,2,"Fragile (avg 47) — relatively weak in digital access, relatively strong in food security"
10868,ND,Rural,16570,3641,21.98,25.69,54.96,40.61,3.62,31.63,17.69,15.81,50.48,16.5,24.79,65.8,31.18,26.35,37.34,18.85,40.49,45.14,23.14,31.05,Critical,0,"High-risk (avg 35) — relatively weak in digital access, relatively strong in economic security"
10879,OR,Suburban,47690,10083,21.14,25.23,95.86,69.93,4.6,55.87,56.5,6.51,44.22,11.25,17.27,23.39,49.41,61.95,69.61,50.08,95.76,76.08,83.73,65.16,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
10947,TX,Small town,25925,5561,21.45,29.15,77.32,32.46,2.21,45.32,30.26,9.39,56.92,11.22,17.64,28.12,21.84,41.58,63.86,48.55,70.7,76.25,76.97,50.95,At risk,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
10989,OK,Urban,121364,17769,14.64,14.29,97.36,73.27,1.29,35.81,76.81,15.82,44.04,12.07,13.66,19.69,38.66,59.79,34.76,65.07,97.78,71.24,89.01,59.41,Adequate,1,"Adequate (avg 61) — relatively weak in economic security, relatively strong in digital access"
